regex,category,source
.*KOPIFELLAS.*,1,
.*LLAO LLAO.*,1,7
.*SUBWAY .*,1,
108 MATCHA SARO - SUNTEC,1,
4FINGERS CRISPY CHICKE.*,1,5
6 LETTER COFFEE,1,
7-ELEVEN.*,"1,9",
A Hot Hideout,1,
Ajummas,1,
ALICE.*,1,
AN\ ACAI\ AFFAIR,1,7
ANN CHIN PO,1,
ANOMALY\ ANOMA\.LY,1,4
Arteastiq,1,
ARTICHOKE,1,
ASIAN TWIST,1,6
ATIPICO.*,"1,10",
ATLAS VENDING,1,4
AU CROISSANT,1,
AUNTY OATS,1,
AVENUE CREAMERY,1,
BAKERY & BAR,1,
BAKES N BIT,1,3
BALESTIER R,1,
BAN KENG FL,1,3
BAOS\ PASTRY,1,7
BARCOOK BAK,1,
BBQ SEAFOOD,1,"2,3"
BEARD PAPA'S,1,
BEE CHENG HIANG.*,1,
BELLE-VILLE BUGIS,1,
BENGAWAN SOLO @ WM,1,
BEST BITES,1,"2,3"
BETSUBARA - THOMSON PL,1,
BEVERAGE ,1,
BEYOND THE DOUGH,1,
BINGO,1,7
BIRDS OF PARADISE.*,1,
BOON LAY CA,1,
BREAD & HEARTH,1,7
BREADTALK.*,1,7
BROTHERBIRD BAKEHOUSE,1,
BUB\ COFFEE,1,7
BUNGA RAYA,1,2
Burger King,1,
BURNT CONES,1,
BUTTER & CREAM,1,
Butternut,1,
CAFE USAGI,1,
CANDLENUT KITCHEN PTE LTD,1,
CANTINE.*,1,"5,7"
Casa Vostra,1,
CAVERN RESTAURANT,1,
CC\(GENEO\) .*,1,"4,5,6,7"
CEDELE,1,
CEDRIC GROLET,1,
CENTURY COF,1,
CHAI WEE CU,1,
CHATERAISE,1,
CHEF'S PLAYGROUND,1,7
CHICHA SAN CHEN .*,1,7
CHICKEN RIC,1,
CHILLI API CATERING PL,1,
CHIN MEE CHIN.*,1,
CHINESE PRA,1,
CHIRASHIZUSHI SHOU_BUKIT,1,
CHOCOWORKS PTE LTD,1,
CHONG PANG,1,3
CHOON HIANG,1,3
CIK FAHS,1,
CLASSIC @ MBLM,1,
CNYGD SG \(DING BAKERY\),"1,10",5
COCOICHIBANYA -STAR VISTA,1,
COFFEE BREA,1,
COLD & HOT,1,2
COLLIN'S - JURONG POINT,1,
CONSERVATOR,1,
CORNERCOVE PTE LTD,1,
CRAVE @ ONE KENT RIDGE,1,
Crimson Restaurant,1,
Croissand Cafe,1,
CURRY PUFF,1,3
DABBA STREET - ONE@KEN,1,
Daehwa Vegeterian,1,
DELI IN THE PARK PAY,1,
DELI SNACK.*,1,2
DELIFRANCE-NUH MEDICAL,1,
DELISNACK.*,1,
DIAMOND KITCHEN.*,1,"4,5,7"
DIN TAI FUNG.*,1,5
DING CATERS,1,
DISNEY\ PLUS,1,6
DON JAPANES,1,3
DONA\ MANIS\ CAKE\ SHOP,1,4
DONBURI KING,1,
DORAKEIKI,1,7
Dough 30 Victoria S,1,
DRINKS,1,
DU DU SHOU,1,3
DUCK RICE,1,3
EATERO\ 121,1,3
ECONOMICAL,1,
ELEMENT14 PTE LIMITED,1,
EMPRESS PORRIDGE,1,
En Ramen,1,
ESSO-CHEERS BY FP,1,
EVAN'S KITCH,1,
EXTRA VIRGIN PIZZA - HV,1,
FAMOUS AMOS - WISMA ATRIA,1,
FAT CAT GRI,1,
FAT SAIGON BOY,1,
FAVEPAY AH LONG PANCAKE,1,
FAVEPAY MR\. BEAN,1,
FINEST.*,"1,2",
FISH 3T SAKURAYA - P,1,
FLIPPER'S,1,7
FO ION-LIXIN FISHBALL NOO,1,
FONG HUP .*,1,2
FOOD BARN @ GALAXIS,1,
FOOD JUNCTION-WESTGATE,1,
FOODPANDA SINGA,1,
FOUR LEAVES - WESTMALL,1,
FOUR SEASON,1,
fp\*Food Panda,1,
FR PP-.*,1,
FR PWP AH MA CHI MIAN,1,
FR\ SC\-YUENKEE\ DUMPLING,1,4
FR\ SUNTEC\-HOT\ \&\ COLD,1,4
FR\ SUNTEC\-JUICE\ BAR,1,4
FRESH FRUIT,1,
FRESH\ MEAT,1,3
FRESHLY MAD,1,3
FRUIT & JUI,1,
FRUIT JUICE,1,
FRUITS VENDING PTE LTD,1,
FUEL X,1,
FUSION SPOON,1,
GARDENS BY THE BAY.*,"1,9",
GATHER,1,
GENKI SUSHI-.*,1,"5,7"
Getsome Guille3d 100 Guille3,1,
GIN KHAO_CHANGI,1,7
GINKAKUJI ONISHI @ WCP,1,
GLAM \(28\) P,1,2
Gochiya West Mall,1,
GODMAMA .*,1,
GOKOKU JAPANESE BAKERY.*,1,
GOLDEN F&B VENTURES PT,1,7
GOLDWOOD PTE LTD,1,
GOODWOOD\ PARK\ HOTEL\ PR,1,7
GRAIN - G32.*,1,
GRAINSNCO,1,
GRANNY PANC,1,
GRB\* AGAPE CULINARY PT,1,
GRB\* Burnt Cones Gelat,1,
GRB\* Five Oars Coffee,1,
GRB\* Rong Hua Bak Kut,1,
GRB\* Warabimochi Kamak,1,
GRB\*Cafe Usagi 111 Som,1,7
GREAT NANYANG,1,5
GREENDOT PATISSERIE -,1,
GREENHOUSE,1,
GUARDIAN.*,"1,2,8",5
Guerilla Suntec 3 Temasek Bou,1,
GV PAYA LEBAR,1,
GYG - Guoco Tower,1,
H M Hennes Mauritz Pt,1,
HAI ENG CAF,1,
HAINAN STREET CAFE - LPK,1,5
HAJIME TONKATSU & RAME,1,
Hanbaobao Pte\. Ltd\.,1,
HANS - SMS,1,
HAO\ JI\ PAU,1,3
HAO LAI KE,1,3
HAPPY ICE PTE LTD,1,
HAPPY YONG,1,3
HARDWARECITY CCK,1,
HARRIANNS NONYA TABLE-.*8,1,
HAVE@ASCENT,1,7
HAVEEN MINI,1,
HAZUKIDO PRIVATE LIMIT,1,
HE CHUN CHA,1,"2,3"
HEALTH & U @ MEDICAL CTR,1,
HEAVENS,1,
HEY KEE HK SEAFOOD,1,
HHH ENTERPRISE,1,7
HITOYOSHI .*,1,
HM SG070.*,1,6
HMGICS,"1,9",
HO HENG BAN,1,
HO HUAT HOK,1,
HO KEE,1,
HOE SENG DR,1,2
HOLLAND V .*,1,
HONG GUAN C,1,
HONG KONG EGGLET JP,1,
HONG SHENG,1,
HONG YUN CA,1,3
HONOLULU CAF  - WESTGATE,1,
HOODADAK,1,
HOUSE OF DR,1,
HOUSE OF TA,1,
HUANG PU SO,1,
HUGABO - SUN PLAZA,1,
HUGGS COFFEE-NUH,1,
HUI WEI CHI,1,
HV HOMEMADE,1,
HVALA-.*\.SG,1,
HWA KEE NOO,1,3
ICHIBAN BOSHI@JURONG P,1,
IDATEN UDON - GENEO,1,
IJOOZ,1,5
IKEA.*,"1,7",
IKI CONCEPTS PTE LTD,1,
IMAKATSU,1,
Imakatsu.*,1,
INDONESIAN,1,
INNOVATIVE\ RETAIL\ SING,1,4
INSTAGRAM\.COM/GREATNAN,1,
INTERESTS,1,
IPPUDO.*,1,5
IRVINS SALTED EGG,1,
ISHIRO OHV,1,
J-.*,1,
J2 CURRY PU,1,
JAMES,1,
JAPAN HOME,1,
JASON DELI SENTOSA QUAYSI,1,
JERSELLE PTE LTD N/A,1,
JFE-TORORITENSHI CCP,1,
JIA MEI MIA,1,
JIE BAKERY \(TAI SENG\),1,
JIN JIN DES,1,
JING RONG,1,
JINJJA CHICKEN DINER,1,
JOB PANCAKE,1,2
JOE & DOUGH - PLQ,1,
JOHAN PARIS,1,
JS INTL 504,1,
JURASSIC NEST-GBB\(F&B\),1,
JURONG 132,1,
JURONG EAST,1,
Jurong Point,1,
JW50 DR,1,
KAFFE & TOAST.*,1,5
KAI.*,1,
KAJIKEN PAYA LEBAR SQ,1,
KANTIN GROUP,1,
KARE,1,
KAZO,1,
KCHICKEN,1,
KEI KAISENDON PAYA LEBAR,1,5
KEONGSAIKBAKERY \(B\),1,
KFC PLQ 540,1,
KIA XIANG N,1,
KIM CHOO KUEH CHANG PT,1,
KIM SAN LEN,1,
KITH - MILLENIA WALK,1,
KO KO XIANG,1,
KOJI SUSHI BAR-RAFFLES,1,
KONDITORI .*,1,7
KOONG WOH T,1,3
KOPI & TARTS AM,1,7
KOPITIAM @.*,1,"4,7"
KORYO 3T TANJONG PAGAR,1,
KOTUWA,1,
KOUFU.*,1,
KP PANCAKE,1,
KPT@PARKWAY\ PARADE,1,4
KUEH HO JIA,1,
KURIYA FRESH FISH MKT,1,
KWAASONG IOI CENTRAL B,1,7
KYOKOHEE,1,
L'ECLAIR,1,
LA BOTTEGA ENOTECA,1,
La Grigne Pte Ltd,1,
LA LEVAIN.*,1,5
LADERACH SWISS CHOCOLATE,1,
LAU CHOY SENG PTE LTD,1,
LAURENT B\.CHOCOLATIER-MSR,1,
LAVENDER - JEWEL,1,
LE KITCHEN,1,
LE MATIN PATISSERIE,1,
LEE\ SEAFOOD,"1,2",3
Lemuel Chocolate,1,
LENU \(CHEF WAI'S NOODLE B,1,
LET'S EAT - TAI SENG,1,
LETS GO\* PAYHIP FINKENBERG,1,
LIANG ZHAO,1,
LIGHT,1,
LIM CHEE GUAN PTE LTD,1,
LIM KIM HOO,1,2
LIMING\ FRUI,1,3
LIN'S\ BRAIS,1,2
LOCAL DELIG,1,2
LOLAS CAFE\* OD,1,
LOONG FATT,1,
LOR 20 GEYL,1,
LOTUS DE LI,1,
Lovelife Ventures Pte Ltd,1,
LR BOULANGERIE,1,7
LSTSXGM\.COM,1,
LUCKY FISH,1,
M\.B\. DEEN R,1,
MACCHA - PAYA LEBAR,1,
MADAM ANG KK PARAGON,1,
MADAM FLOD PTE LTD N/A,1,
MAJI CURRY,1,
MALAYSIA BOLEH.*,1,"4,7"
MAM MAM,1,
MAMA RECIPE,1,
MAMMA MIA @ JURONG POINT,1,
Mandai Wildlife Group .*,1,
MASTA KAFE,1,
MATCHAYA,1,
MCDONALD'S .*,1,6
MEET YOU CAFE,1,
MEI XIANG C,1,2
MEIDI-YA.*,"1,2",5
MERCI3CELGROUP.*,1,
MERCIMARCELGROUP\.COM,1,4
MI JIAN KUE,1,
MIAM MIAM.*,1,
MICRO BAKERY KITCHEN,1,
MINI WOK,1,
MINIWOK,1,
MISTER DONUT - JURONG,1,
MOMO\ BURGER,1,7
MONSTER CURRY @ BUGIS,1,
MOUTH REST MAXWELL,1,
MR\ EGG\ FRIE,1,2
MR GRUMPY N,1,
Ms Durian,1,"1,5"
MUJI.*,"1,7",6
MUNCHI PANC,1,
MUYOO\+ JP,1,
MVRJE346,1,
MY AWESOME CAFE,1,
MY KAMPUNG - .*,1,7
MY SAAP SAAP THAI .*,1,
MYEUREKA T2 #02-181,1,
MYICA,1,
NAM KEE PAU BUGIS,1,
NAN YANG DAO PTE LTD .*,1,
NANA BUNSIK,1,
Nanas Acai,1,7
NASI LEMAK AYAM TALIW,1,
NASTY COOKIE PTE LTD,1,
NBC STATIONERY & GIFTS,1,
NE NE NEKO,1,
NENE CHICKEN-JURONG GATEW,1,
NEPTUNE HON,1,
NESUTO,1,
NET\*FASHION ONE PTE LTD,1,
NET\*KAFFIEND PTE LTD,1,
NET\*KLOUDKITCHEN,1,
NET\*KODAWARI KATSUYA,1,
NET\*SHALABY ENTERPRISE,1,
NEW CENTURY,1,
NEW NANYANG ONE@KENTR,1,
NG AH SIO BKT RANGOON,1,
NHCS\ MED\ PRT\ HHUB,1,4
NIKUTOSAKE,1,
NINE FRESH,1,
NIQQI'S THE,1,
NITORI-THE HEEREN SINAPORE,1,
NO\ 1\ BAKERY,1,2
NON STOP DR,1,
NTU CANTEEN,1,
NYONYA CHEN,1,
OIKOS WESTE,1,
OLD\ AIRPORT,1,3
OLD AMOY CH,1,
OLD CHANG KEE,1,
OLD SENG CHOONG TERMIN,1,
OLLELLA\ PTE\ LTD\ N/A,1,"4,7"
OLSEN BAKEHOUSE,1,
ONE-TECH\.SG,1,
ONE15 3INA CLUB,1,
OPN\*Maple Catering SGH,1,
OPN\*Soul Delicacies SGH,1,
ORCHARD HOTEL F B,1,
OTTOMAN\ TURKISH\ DELIGH,1,7
PANECO SINGAPORE PL,1,
PANG PANG RICE,1,
PARKING\.SG,1,
Pasta Express,1,
PATISSERIE G,1,
PATSFIELD S.*S,1,
PAYNOW - P E T I \.\.\. ,1,2
PAYNOW AHMAH'S LE\.\.\. ,1,
PAYNOW\ ATRIA\ CITY\.\.\.\ ,1,3
PAYNOW BAKER'S WE\.\.\. ,1,
PAYNOW BAKERY BRE\.\.\. ,1,"2,3"
PAYNOW CAFE\.\.\. ,1,
PAYNOW CHA MULAN \.\.\. ,1,3
PAYNOW FOUR SEASO\.\.\. ,1,
PAYNOW HAO LAI KE\.\.\. ,1,"2,3"
PAYNOW HAWKERLAB \.\.\. ,1,2
PAYNOW HAY DAIRIE\.\.\. ,1,
PAYNOW HENG HENG \.\.\. ,1,2
PAYNOW HOW'S CATE\.\.\. ,1,
PAYNOW HUNG HUAT \.\.\. ,1,
PAYNOW JIA CONFEC\.\.\. ,1,
PAYNOW JIAN BO SH\.\.\. ,1,
PAYNOW LINA CONFE\.\.\. ,1,
PAYNOW MK LEVURE \.\.\. ,1,2
PAYNOW NEO EMPIRE\.\.\. ,1,
PAYNOW\ NEO\ EMPIRE\.\.\.\ ,1,3
PAYNOW NEO GARDEN\.\.\. ,1,
PAYNOW OLD CHANG \.\.\. ,1,
PAYNOW ONE FATTEN\.\.\. ,1,
PAYNOW ONLEE BAKE\.\.\. ,1,2
PAYNOW ORIENTAL D\.\.\. ,1,3
PAYNOW ORIENTAL F\.\.\. ,1,
PAYNOW OTTOMAN CO\.\.\. ,1,
PAYNOW PETIT PAIN - P E T I T P A I N,1,
PAYNOW PETITE KRU\.\.\. ,1,
PAYNOW QASHIER \.\.\.   ,1,
PAYNOW SHOPEEPAY \.\.\. ,"1,2,5,7","2,5,7"
PAYNOW STRIPE PAY\.\.\. ,1,
PAYNOW SUGURU HOM\.\.\. ,1,
PAYNOW THE FRESHL\.\.\. ,1,
PAYNOW THE SALAD \.\.\. ,1,
PAYNOW TIONG BAHR\.\.\. ,1,
PAYNOW UMEYA FOOD\.\.\. ,1,
PAYNOW UNIWEB PTE\.\.\. ,1,3
PAYPAL \*WATAMIFOODS,1,
PENANG DELI,1,2
PENG GUAN J,1,
Penguin Cove Restauran,1,
PIADINI ITALIAN STREAT,1,
PINEAPPLETARTS\.SG,1,
PIPES BY HATTENDO,1,
Plain Vanilla - Hollan,1,5
PLAIN VANILLA BAKERY,1,
PLAYMADE,1,
POLAR PUFFS & CAKES - .*,1,
POPIAH BEND,1,
POULET - SPORTS HUB,1,
PRIMA DELI - TAMAN JURONG,1,
PRIME SUPER3KET,1,
project-acai-hv-qsr,1,5
PROMOTE JAPAN ENTERPRI,1,
PULLMAN BAKERY - JEC,1,"4,5,7"
PURE PANDAN,1,
QQ FRUIT JU,1,
RAJA RASA 7,1,3
RED DOT DESIGN MUSEUM,1,
REDSPOT BAN,1,
REDSPOT CHI,1,
REDSPOT DRI,1,
REE AND MUMMY PTE LTD,1,
REGROW HERBAL LABS PTE N/A,1,
REINVEND\ SOLUTIONS\ PTE\.\ L,1,6
RELACTO\.COM\.SG,1,
RESTORAN AH,1,
RFA_FB_RangerCafe,1,
RFA_RT_Entrance,1,
RICHFOODSPT,1,
RICHMAN\ DIMSUM\ PTE\ LTD\ N/A,1,7
RISIS @ NOG TICKETING OFF,1,
RISTORANTE PIETRASANTA,1,
ROAST & TOAST PTE LTD,1,
ROLINA,1,
RON SHENG B,1,
RONG FA DRI,1,
RONGHUA BAK KUT TEH \(C,1,
ROOTS@ONENORTH,1,
ROYCECO\.,1,
S'PORE SCIENCE CENTRE,"1,4",
S3TE CARTE,1,
SALLY,1,
SALT,1,
SALTED CARAMEL,1,
SAMURICE@TANJONG PAGAR,1,
Sang Nila Utang Mala P,1,"4,5,7"
SARAWAK KO,1,
SASHA'S FINE FOODS PTE\.,1,
